star,logeps_na,teff_corr,logg_corr,feh,vt_corr,N_na_lines,logeps_na_w,nafe_w,delta_na_5682,w_5682,delta_na_5688,w_5688,delta_na_5889,w_5889,delta_na_5895,w_5895,logeps_w_nlte,delta_na_w,nafe_nlte_w
wukong10,4.343,4814,1.9,-1.993,1.55,4,4.336,0.089,-0.074,42.443,-0.089,50.113,-0.304,12.79,-0.393,13.448,4.20179705203967,-0.134202947960335,-0.0452029479603353
wukong11,4.516,4706,1.18,-2.37,1.96,4,4.44,0.57,-0.074,46.402,-0.088,56.66,-0.269,12.843,-0.361,13.571,4.38644914887701,-0.0535508511229885,0.516449148877011
wukong12,4.293,4842,1.82,-2.117,1.77,2,4.295,0.172,,,,,-0.372,12.975,-0.445,14.198,3.8828572112023,-0.412142788797703,-0.240142788797703
wukong13,4.517,4923,2.15,-1.896,1.7,3,4.361,0.017,,,-0.094,47.923,-0.328,11.887,-0.428,12.763,4.32593359789453,-0.0350664021054659,-0.0180664021054659
wukong14,4.694,5099,2.6,-1.261,1.6,3,4.699,-0.28,-0.08,50.261,-0.094,62.332,-0.276,14.926,,,4.58421507383214,-0.114784926167865,-0.394784926167865
wukong1,4.505,4887,2.12,-1.749,1.58,3,4.493,0.002,,,-0.089,58.917,-0.289,12.86,-0.385,14.35,4.3368192552858,-0.156180744714202,-0.154180744714202
wukong2,4.348,4623,1.48,-1.879,2.14,3,4.309,-0.053,,,-0.073,42.589,-0.189,13.282,-0.265,14.862,4.2128760126108,-0.0961239873891966,-0.149123987389197
wukong3,4.016,4866,1.9,-2.332,1.62,2,4.017,0.11,,,,,-0.44,13.001,-0.462,15.027,3.56420486656201,-0.452795133437991,-0.342795133437991
wukong4,3.707,5101,2.3,-2.885,1.79,2,3.696,0.341,,,,,-0.481,15.799,-0.412,23.952,3.2675760106664,-0.428423989333603,-0.0874239893336026
wukong5,4.508,4670,1.5,-2.423,1.59,2,4.503,0.686,,,,,-0.196,9.776,-0.276,11.695,4.26842494527502,-0.234575054724978,0.451424945275022
wukong6,2.597,5307,3.15,-3.58,1.51,2,2.596,-0.064,,,,,-0.101,31.145,-0.054,34.911,2.52083978745307,-0.0751602125469297,-0.13916021254693
wukong7,3.488,5095,2.43,-2.953,0.93,2,3.469,0.182,,,,,-0.424,10.177,-0.353,15.562,3.10692715334706,-0.362072846652939,-0.180072846652939
wukong8,4.463,5312,2.75,-2,1.43,2,4.465,0.225,,,,,-0.454,12.065,-0.514,14.841,3.97590477960306,-0.489095220396937,-0.264095220396937
wukong9,4.447,4974,2.22,-2.046,1.8,2,4.451,0.257,,,,,-0.395,10.976,-0.488,12.486,4.00250728838121,-0.448492711618788,-0.191492711618788
indus_0,4.743,5040,1.93,-2.32,1.73,2,4.742,0.822,,,,,-0.425,71.541,-0.557,70.062,4.25268934980191,-0.48931065019809,0.33268934980191
indus_12,4.253,4741,1.45,-2.031,1.9,2,4.252,0.043,,,,,-0.318,63.091,-0.382,61.996,3.90328012503298,-0.348719874967023,-0.305719874967023
indus_13,4.431,5063,2.29,-1.835,1.59,2,4.43,0.025,,,,,-0.411,78.709,-0.49,75.746,3.98125775144864,-0.448742248551357,-0.423742248551357
indus_14,4.361,4969,2.08,-1.799,1.52,2,4.36,-0.08,,,,,-0.414,92.242,-0.489,87.958,3.91039150943396,-0.449608490566038,-0.529608490566038
indus_15,4.548,4937,2.18,-1.712,1.59,3,4.554,0.026,,,-0.095,49.346,-0.303,93.11,-0.405,88.028,4.25057571024453,-0.303424289755472,-0.277424289755472
indus_6,4.309,5251,2.43,-2.236,1.73,2,4.303,0.299,,,,,-0.523,81.907,-0.535,64.616,3.78070805266067,-0.522291947339325,-0.223291947339325
indus_8,4.517,5206,2.5,-1.9,1.66,2,4.515,0.175,,,,,-0.435,65.854,-0.507,63.71,4.04659572103362,-0.468404278966379,-0.293404278966379
jhelum_0,4.536,5122,2.27,-1.974,1.63,2,4.535,0.27,,,,,-0.435,90.711,-0.52,85.609,4.05972978107986,-0.475270218920145,-0.205270218920145
jhelum_1_5,4.33,5011,2.07,-1.98,1.67,2,4.329,0.069,,,,,-0.495,87.382,-0.55,79.359,3.80882320485064,-0.520176795149363,-0.451176795149363
jhelum_1_8,4.111,5199,2.44,-2.285,1.52,2,4.109,0.154,,,,,-0.499,81.907,-0.491,76.775,3.61587063435046,-0.493129365649538,-0.339129365649538
jhelum_2_10,4.373,5116,2.31,-1.887,1.47,2,4.373,0.021,,,,,-0.443,89.638,-0.503,84.395,3.90090379410801,-0.472096205891987,-0.451096205891987
jhelum_2_11,4.373,5220,2.44,-2.037,1.67,2,4.372,0.169,,,,,-0.489,86.207,-0.526,81.907,3.865973190811,-0.506026809189002,-0.337026809189002
jhelum_2_14,3.929,5188,2.31,-2.259,1.73,2,3.932,-0.049,,,,,-0.506,40.288,-0.457,38.579,3.44696909987701,-0.485030900122991,-0.534030900122991
jhelum_2_15,4.341,5001,1.98,-2.033,1.68,2,4.341,0.134,,,,,-0.518,87.382,-0.571,79.359,3.79777508831061,-0.543224911689386,-0.409224911689386
jhelum_2_2,4.514,4967,2.09,-1.448,1.49,3,4.525,-0.266,,,-0.084,15.549,-0.339,17.245,-0.432,17.245,4.22218739383281,-0.30281260616719,-0.56881260616719
